Contcod,Group,R Rinc,Quintile,Pop
GTM,1,82,0,0.8525211
UGA,1,85,0,1.6482365
SLV,1,87,0,0.5189565
LSO,1,99,0,0.15799
MRT,1,104,0,0.1892328
HND,1,119,0,0.4618245
UGA,2,133,0,1.6482365
NGA,1,136,0,9.2731304
CRI,1,147,0,0.2916566
CHN-R,1,157,0,81.9172096
PAK,1,165,0,10.5332464
GHA,1,166,0,1.4010951
IDN-U,1,167,0,5.126596
LSO,2,174,0,0.15799
GTM,2,177,0,0.8525211
IDN-R,1,178,0,12.674084
UGA,3,180,0,1.6482365
BGD,1,185,0,10.006232
BRA,1,196,0,14.4470384
HND,2,196,0,0.4618245
IND-R,1,203,1,62.81072
UZB,1,203,1,1.956118
MRT,2,205,1,0.1892328
CHN-R,2,207,1,81.9172096
IND-U,1,210,1,20.9592464
NGA,2,212,1,9.2731304
PAK,2,213,1,10.5332464
IDN-U,2,221,1,5.126596
IDN-R,2,230,1,12.674084
UGA,4,230,1,1.6482365
DOM,1,233,1,0.6907171
BGD,2,235,1,10.006232
ECU,1,235,1,0.9792658
GHA,2,238,1,1.4010951
UZB,2,238,1,1.956118
CHN-R,3,248,2,81.9172096
PHL,1,255,2,5.8572072
UZB,3,255,2,1.956118
PAK,3,256,2,10.5332464
LSO,3,257,2,0.15799
IDN-R,3,266,2,12.674084
IDN-U,3,268,2,5.126596
IND-R,2,269,2,62.81072
IND-U,2,269,2,20.9592464
NGA,3,269,2,9.2731304
BGD,3,277,2,10.006232
UZB,4,280,2,1.956118
GTM,3,281,2,0.8525211
UGA,5,283,2,1.6482365
HND,3,284,2,0.4618245
CHN-R,4,285,3,81.9172096
CHN-U,1,291,3,28.245792
PAK,4,298,3,10.5332464
IDN-R,4,300,3,12.674084
MRT,3,301,3,0.1892328
GHA,3,303,3,1.4010951
NZL,1,306,3,0.335
IDN-U,4,314,3,5.126596
IND-R,3,315,3,62.81072
BGD,4,316,3,10.006232
CHN-R,5,321,4,81.9172096
IND-U,3,324,4,20.9592464
NGA,4,326,4,9.2731304
UZB,5,326,4,1.956118
PHL,2,331,4,5.8572072
CIV,1,336,4,1.1694318
IDN-R,5,337,4,12.674084
COL,1,340,4,3.191325
PAK,5,340,4,10.5332464
LKA,1,343,4,1.6599
THA,1,343,4,5.5370528
CHL,1,344,4,1.2733409
UGA,6,346,4,1.6482365
LSO,4,352,4,0.15799
BGD,5,355,4,10.006232
IND-R,4,357,5,62.81072
CHN-R,6,360,5,81.9172096
IDN-U,5,361,5,5.126596
GHA,4,364,5,1.4010951
UZB,6,375,5,1.956118
IDN-R,6,377,5,12.674084
IND-U,4,381,5,20.9592464
DZA,1,387,5,2.4035236
HND,4,387,5,0.4618245
PAK,6,388,5,10.5332464
NGA,5,390,5,9.2731304
CHN-U,2,392,5,28.245792
MRT,4,395,5,0.1892328
BGD,6,398,5,10.006232
GTM,4,402,5,0.8525211
IND-R,5,403,6,62.81072
CHN-R,7,404,6,81.9172096
PHL,3,410,6,5.8572072
IDN-U,6,414,6,5.126596
TUN,1,414,6,0.7857619
UGA,7,423,6,1.6482365
IDN-R,7,425,6,12.674084
SLV,2,425,6,0.5189565
UZB,7,427,6,1.956118
DOM,2,428,6,0.6907171
GHA,5,428,6,1.4010951
MEX,1,439,6,8.1010096
IND-U,5,440,6,20.9592464
THA,2,440,6,5.5370528
PAK,7,444,7,10.5332464
BGD,7,447,7,10.006232
IND-R,6,453,7,62.81072
LKA,2,455,7,1.6599
BRA,2,460,7,14.4470384
BOL,1,461,7,0.636347
CHN-R,8,464,7,81.9172096
LSO,5,465,7,0.15799
EGY,1,466,7,5.443372
CHN-U,3,470,8,28.245792
CIV,2,471,8,1.1694318
NGA,6,474,8,9.2731304
IDN-U,7,477,8,5.126596
IDN-R,8,487,8,12.674084
JAM,1,492,8,0.23564
UZB,8,492,8,1.956118
MRT,5,493,8,0.1892328
PHL,4,497,8,5.8572072
GHA,6,498,8,1.4010951
IRN,1,500,8,5.1810744
VEN,1,506,8,1.8839278
HND,5,508,8,0.4618245
IND-U,6,508,8,20.9592464
BGD,8,513,8,10.006232
ECU,2,514,8,0.9792658
IND-R,7,514,8,62.81072
PAK,8,520,8,10.5332464
UGA,8,531,8,1.6482365
LKA,3,533,8,1.6599
CHN-U,4,539,8,28.245792
THA,3,541,8,5.5370528
GTM,5,545,8,0.8525211
MYS,1,557,8,1.7200068
CHN-R,9,562,9,81.9172096
IDN-U,8,562,9,5.126596
NGA,7,578,9,9.2731304
GHA,7,581,9,1.4010951
IDN-R,9,585,9,12.674084
COL,2,588,9,3.191325
EGY,2,588,9,5.443372
UZB,9,590,9,1.956118
IND-U,7,591,9,20.9592464
PHL,5,592,9,5.8572072
TTO,1,592,9,0.1201224
IND-R,8,594,9,62.81072
CIV,3,601,9,1.1694318
DZA,2,602,9,2.4035236
MRT,6,604,9,0.1892328
CHN-U,5,605,10,28.245792
LSO,6,605,10,0.15799
LKA,4,609,10,1.6599
TUR,1,615,10,5.22785
BGD,9,622,10,10.006232
DOM,3,624,10,0.6907171
CRI,2,627,10,0.2916566
CHL,2,641,10,1.2733409
PAK,9,648,10,10.5332464
TUN,2,650,10,0.7857619
BOL,2,656,10,0.636347
THA,4,656,10,5.5370528
HND,6,660,10,0.4618245
CHN-U,6,674,10,28.245792
BRA,3,691,10,14.4470384
LKA,5,691,10,1.6599
GHA,8,694,10,1.4010951
EGY,3,702,10,5.443372
IDN-U,9,703,10,5.126596
IND-U,8,705,10,20.9592464
PHL,6,706,10,5.8572072
NGA,8,712,10,9.2731304
UGA,9,716,10,1.6482365
GTM,6,720,10,0.8525211
IND-R,9,723,11,62.81072
CIV,4,729,11,1.1694318
SLV,3,732,11,0.5189565
MRT,7,737,11,0.1892328
DZA,3,746,11,2.4035236
JAM,2,751,11,0.23564
CHN-U,7,753,11,28.245792
PRY,1,764,11,0.4023628
IRN,2,765,11,5.1810744
ECU,3,783,11,0.9792658
LKA,6,783,11,1.6599
THA,5,787,11,5.5370528
VEN,2,789,11,1.8839278
LSO,7,791,11,0.15799
MYS,2,809,11,1.7200068
EGY,4,810,11,5.443372
DOM,4,823,11,0.6907171
JOR,1,835,11,0.2948
UZB,10,835,11,1.956118
TUN,3,846,11,0.7857619
PHL,7,852,11,5.8572072
BOL,3,853,11,0.636347
CHN-U,8,855,11,28.245792
COL,3,858,11,3.191325
CHL,3,864,11,1.2733409
CIV,5,864,11,1.1694318
HND,7,865,11,0.4618245
GHA,9,881,11,1.4010951
DZA,4,886,11,2.4035236
LKA,7,895,11,1.6599
IND-U,9,898,11,20.9592464
TUR,2,918,11,5.22785
MRT,8,919,11,0.1892328
EGY,5,922,11,5.443372
NGA,9,924,11,9.2731304
THA,6,944,11,5.5370528
BRA,4,945,11,14.4470384
GTM,7,956,11,0.8525211
CRI,3,959,11,0.2916566
TTO,2,968,11,0.1201224
URY,1,973,11,0.3068166
IDN-R,10,986,11,12.674084
JAM,3,999,11,0.23564
CIV,6,1014,11,1.1694318
CHN-U,9,1015,12,28.245792
SLV,4,1025,12,0.5189565
IRN,3,1028,12,5.1810744
DZA,5,1036,12,2.4035236
DOM,5,1037,12,0.6907171
TUN,4,1044,12,0.7857619
EGY,6,1047,12,5.443372
LKA,8,1047,12,1.6599
PHL,8,1056,12,5.8572072
CHN-R,10,1060,12,81.9172096
ECU,4,1060,12,0.9792658
LSO,8,1064,12,0.15799
BOL,4,1068,12,0.636347
MYS,3,1072,12,1.7200068
BGD,10,1091,12,10.006232
JOR,2,1098,12,0.2948
CHL,4,1105,12,1.2733409
ARG,1,1107,12,3.172913
VEN,3,1107,12,1.8839278
THA,7,1149,12,5.5370528
COL,4,1150,12,3.191325
TUR,3,1151,12,5.22785
HND,8,1169,12,0.4618245
IRL,1,1189,12,0.3524949
CIV,7,1196,12,1.1694318
EGY,7,1196,12,5.443372
DZA,6,1205,12,2.4035236
MRT,9,1221,12,0.1892328
PRY,2,1230,12,0.4023628
HUN,1,1243,12,1.0596487
JAM,4,1248,12,0.23564
CRI,4,1252,12,0.2916566
IDN-U,10,1257,12,5.126596
PAK,10,1258,12,10.5332464
BRA,5,1261,12,14.4470384
TUN,5,1262,12,0.7857619
DOM,6,1285,12,0.6907171
LKA,9,1293,12,1.6599
IRN,4,1295,12,5.1810744
MEX,2,1298,13,8.1010096
GTM,8,1302,13,0.8525211
BOL,5,1305,13,0.636347
IND-R,10,1311,13,62.81072
SLV,5,1332,13,0.5189565
TTO,3,1337,13,0.1201224
ECU,5,1352,13,0.9792658
MYS,4,1354,13,1.7200068
JOR,3,1361,13,0.2948
CHL,5,1384,13,1.2733409
TUR,4,1392,13,5.22785
EGY,8,1399,13,5.443372
PHL,9,1414,13,5.8572072
DZA,7,1419,13,2.4035236
CIV,8,1443,13,1.1694318
THA,8,1443,13,5.5370528
VEN,4,1482,13,1.8839278
COL,5,1484,13,3.191325
UGA,10,1487,13,1.6482365
CHN-U,10,1493,13,28.245792
TUN,6,1510,13,0.7857619
JAM,5,1514,13,0.23564
HUN,2,1541,13,1.0596487
LSO,9,1562,13,0.15799
NGA,10,1564,13,9.2731304
CRI,5,1572,13,0.2916566
IRN,5,1581,13,5.1810744
BOL,6,1585,13,0.636347
DOM,7,1591,13,0.6907171
ISR,1,1614,13,0.4442
GHA,10,1626,13,1.4010951
JOR,4,1627,13,0.2948
KAZ,1,1627,13,1.6130832
PRY,3,1635,13,0.4023628
BLR,1,1637,13,1.014
TUR,5,1657,13,5.22785
MYS,5,1670,13,1.7200068
SLV,6,1670,13,0.5189565
POL,1,1684,13,3.7824488
URY,2,1684,13,0.3068166
ECU,6,1688,13,0.9792658
DZA,8,1708,13,2.4035236
BRA,6,1713,13,14.4470384
ROU,1,1716,13,2.3057662
TTO,4,1719,13,0.1201224
PRT,1,1722,13,1.001961
LTU,1,1723,13,0.3655049
HND,9,1727,13,0.4618245
CHL,6,1737,13,1.2733409
EGY,9,1738,13,5.443372
IND-U,10,1781,14,20.9592464
HUN,3,1793,14,1.0596487
MEX,3,1803,14,8.1010096
TUN,7,1810,14,0.7857619
JAM,6,1815,14,0.23564
ARG,2,1842,14,3.172913
CIV,9,1858,14,1.1694318
GBR,1,1866,14,5.6928328
COL,6,1891,14,3.191325
IRN,6,1914,14,5.1810744
JOR,5,1917,14,0.2948
GTM,9,1935,14,0.8525211
BOL,7,1937,14,0.636347
VEN,5,1942,14,1.8839278
CRI,6,1947,14,0.2916566
PRY,4,1963,14,0.4023628
TUR,6,1968,14,5.22785
THA,9,1970,14,5.5370528
KOR,1,1977,14,4.1975
ESP,1,1989,14,3.8715848
DOM,8,2014,14,0.6907171
HUN,4,2024,14,1.0596487
MYS,6,2048,14,1.7200068
SLV,7,2072,14,0.5189565
ECU,7,2101,14,0.9792658
TTO,5,2136,14,0.1201224
KAZ,2,2155,14,1.6130832
JAM,7,2183,14,0.23564
EST,1,2188,14,0.15619
BRA,7,2194,14,14.4470384
DZA,9,2195,14,2.4035236
BLR,2,2204,14,1.014
TUN,8,2207,14,0.7857619
CYP,1,2225,14,0.0736531
MEX,4,2231,14,8.1010096
CHL,7,2239,14,1.2733409
JOR,6,2246,14,0.2948
HUN,5,2250,14,1.0596487
PRY,5,2257,14,0.4023628
URY,3,2258,14,0.3068166
POL,2,2278,14,3.7824488
ITA,1,2279,14,5.6629288
LTU,2,2303,14,0.3655049
IRN,7,2320,14,5.1810744
MRT,10,2339,14,0.1892328
TUR,7,2357,14,5.22785
CRI,7,2384,14,0.2916566
IRL,2,2387,14,0.3524949
COL,7,2412,14,3.191325
ROU,2,2420,14,2.3057662
BOL,8,2430,14,0.636347
FRA,1,2437,14,5.7668932
ISR,2,2489,14,0.4442
HUN,6,2496,14,1.0596487
LKA,10,2507,14,1.6599
VEN,6,2516,14,1.8839278
MYS,7,2526,14,1.7200068
BLR,3,2560,14,1.014
ARG,3,2565,14,3.172913
PRT,2,2569,14,1.001961
KAZ,3,2595,14,1.6130832
TTO,6,2611,14,0.1201224
SLV,8,2616,14,0.5189565
MEX,5,2627,14,8.1010096
GRC,1,2634,14,1.0036983
USA,1,2636,14,24.4499008
NLD,1,2652,14,1.4760094
JOR,7,2656,14,0.2948
LTU,3,2673,14,0.3655049
ECU,8,2674,14,0.9792658
JAM,8,2688,14,0.23564
POL,3,2732,14,3.7824488
DOM,9,2741,14,0.6907171
SVN,1,2762,14,0.1995196
HUN,7,2778,14,1.0596487
URY,4,2788,14,0.3068166
SVK,1,2803,14,0.5250596
BGR,1,2829,14,0.8981446
TUN,9,2839,14,0.7857619
PRY,6,2848,14,0.4023628
PHL,10,2884,14,5.8572072
IRN,8,2886,14,5.1810744
BLR,4,2889,14,1.014
NZL,2,2889,14,0.335
AUS,1,2890,14,1.65322
TUR,8,2899,15,5.22785
ROU,3,2916,15,2.3057662
CRI,8,2997,15,0.2916566
IRL,3,3000,15,0.3524949
KAZ,4,3002,15,1.6130832
MEX,6,3006,15,8.1010096
EST,2,3016,15,0.15619
LTU,4,3020,15,0.3655049
CHL,8,3030,15,1.2733409
CYP,2,3065,15,0.0736531
CZE,1,3113,15,1.0355276
PRT,3,3117,15,1.001961
POL,4,3126,15,3.7824488
BRA,8,3137,15,14.4470384
ISR,3,3137,15,0.4442
HUN,8,3154,15,1.0596487
COL,8,3158,15,3.191325
TTO,7,3196,15,0.1201224
MYS,8,3206,15,1.7200068
JOR,8,3214,15,0.2948
BLR,5,3222,15,1.014
KOR,2,3222,15,4.1975
EGY,10,3236,15,5.443372
LVA,1,3265,15,0.2653434
BOL,9,3279,15,0.636347
PRY,7,3280,15,0.4023628
VEN,7,3290,15,1.8839278
ARG,4,3307,15,3.172913
ESP,2,3320,15,3.8715848
ROU,4,3328,15,2.3057662
LTU,5,3367,15,0.3655049
MEX,7,3374,15,8.1010096
SVK,2,3376,15,0.5250596
CIV,10,3386,15,1.1694318
URY,5,3393,15,0.3068166
KAZ,5,3406,15,1.6130832
POL,5,3502,15,3.7824488
SLV,9,3529,15,0.5189565
JAM,9,3552,15,0.23564
BLR,6,3574,15,1.014
EST,3,3584,15,0.15619
IRL,4,3623,15,0.3524949
ITA,2,3640,15,5.6629288
SVN,2,3642,15,0.1995196
ECU,9,3651,15,0.9792658
BGR,2,3654,15,0.8981446
PRT,4,3667,15,1.001961
CYP,3,3679,15,0.0736531
ROU,5,3707,15,2.3057662
LTU,6,3733,15,0.3655049
MEX,8,3745,15,8.1010096
BEL,1,3753,15,0.9901664
HUN,9,3758,15,1.0596487
TUR,9,3817,15,5.22785
SVK,3,3820,15,0.5250596
CZE,2,3823,15,1.0355276
CAN,1,3832,15,2.6895
KAZ,6,3834,15,1.6130832
IRN,9,3853,15,5.1810744
ISR,4,3858,15,0.4442
POL,6,3896,15,3.7824488
BLR,7,3966,15,1.014
KOR,3,3975,15,4.1975
TTO,8,4005,15,0.1201224
DNK,1,4024,15,0.5129516
CRI,9,4055,15,0.2916566
GRC,2,4088,15,1.0036983
ESP,3,4090,15,3.8715848
URY,6,4093,15,0.3068166
ARG,5,4094,15,3.172913
FIN,1,4095,15,0.4946481
ROU,6,4095,15,2.3057662
EST,4,4121,15,0.15619
MEX,9,4133,15,8.1010096
LTU,7,4141,15,0.3655049
LSO,10,4145,15,0.15799
JOR,9,4158,15,0.2948
GBR,2,4178,15,5.6928328
SVK,4,4218,15,0.5250596
CYP,4,4224,15,0.0736531
PRT,5,4247,15,1.001961
SVN,3,4281,15,0.1995196
BGR,3,4292,15,0.8981446
PRY,8,4306,15,0.4023628
KAZ,7,4330,15,1.6130832
IRL,5,4332,15,0.3524949
POL,7,4338,15,3.7824488
CZE,3,4362,15,1.0355276
LVA,2,4378,15,0.2653434
MYS,9,4401,15,1.7200068
BLR,8,4438,15,1.014
VEN,8,4458,15,1.8839278
COL,9,4492,15,3.191325
ITA,3,4504,15,5.6629288
THA,10,4519,15,5.5370528
ROU,7,4524,15,2.3057662
SVK,5,4605,15,0.5250596
MEX,10,4621,15,8.1010096
LTU,8,4629,15,0.3655049
EST,5,4647,15,0.15619
ISR,5,4672,15,0.4442
KOR,4,4672,15,4.1975
CHL,9,4708,15,1.2733409
ESP,4,4768,16,3.8715848
NLD,2,4791,16,1.4760094
CYP,5,4819,16,0.0736531
SVN,4,4829,16,0.1995196
CZE,4,4831,16,1.0355276
BGR,4,4851,16,0.8981446
PRT,6,4884,16,1.001961
POL,8,4916,16,3.7824488
URY,7,4920,16,0.3068166
DZA,10,4941,16,2.4035236
KAZ,8,4953,16,1.6130832
IRL,6,4995,16,0.3524949
ARG,6,4996,16,3.172913
SVK,6,4997,16,0.5250596
BRA,9,5012,16,14.4470384
FRA,2,5036,16,5.7668932
ROU,8,5061,16,2.3057662
BLR,9,5097,16,1.014
GRC,3,5105,16,1.0036983
DEU,1,5114,16,7.8144616
LVA,3,5117,16,0.2653434
EST,6,5210,16,0.15619
CZE,5,5271,16,1.0355276
AUS,2,5284,16,1.65322
GBR,3,5305,16,5.6928328
LTU,9,5307,16,0.3655049
SVN,5,5345,16,0.1995196
KOR,5,5347,16,4.1975
TTO,9,5358,16,0.1201224
BGR,5,5384,16,0.8981446
ITA,4,5398,16,5.6629288
SVK,7,5457,16,0.5250596
BEL,2,5470,16,0.9901664
HND,10,5501,16,0.4618245
CYP,6,5507,16,0.0736531
ISR,6,5521,16,0.4442
ESP,5,5534,16,3.8715848
TUN,10,5571,16,0.7857619
GTM,10,5626,16,0.8525211
PRT,7,5637,16,1.001961
PRY,9,5675,16,0.4023628
NLD,3,5696,16,1.4760094
FIN,2,5729,16,0.4946481
CZE,6,5734,16,1.0355276
USA,2,5770,16,24.4499008
HUN,10,5806,16,1.0596487
LVA,4,5806,16,0.2653434
EST,7,5809,16,0.15619
IRL,7,5813,16,0.3524949
POL,9,5825,16,3.7824488
SVN,6,5881,16,0.1995196
ROU,9,5886,16,2.3057662
KAZ,9,5909,16,1.6130832
JPN,1,5929,16,12.2613
BGR,6,5942,16,0.8981446
SVK,8,6040,16,0.5250596
URY,8,6069,16,0.3068166
GRC,4,6077,16,1.0036983
DOM,10,6091,16,0.6907171
KOR,6,6100,16,4.1975
ARG,7,6116,16,3.172913
AUT,1,6137,16,0.7585317
NZL,3,6156,16,0.335
GBR,4,6205,16,5.6928328
FRA,3,6206,16,5.7668932
ITA,5,6221,16,5.6629288
CZE,7,6245,16,1.0355276
BOL,10,6312,16,0.636347
CYP,7,6373,16,0.0736531
ESP,6,6382,16,3.8715848
BEL,3,6405,16,0.9901664
SVN,7,6477,16,0.1995196
LVA,5,6486,16,0.2653434
EST,8,6507,16,0.15619
BGR,7,6575,16,0.8981446
AUS,3,6589,16,1.65322
VEN,9,6591,16,1.8839278
NLD,4,6619,16,1.4760094
PRT,8,6622,16,1.001961
FIN,3,6629,16,0.4946481
ISR,7,6645,16,0.4442
CAN,2,6751,16,2.6895
CZE,8,6901,16,1.0355276
GRC,5,6922,16,1.0036983
SVK,9,6944,16,0.5250596
IRL,8,6951,16,0.3524949
BLR,10,7030,16,1.014
KOR,7,7043,16,4.1975
GBR,5,7211,16,5.6928328
LVA,6,7211,16,0.2653434
LTU,10,7233,16,0.3655049
DNK,2,7252,16,0.5129516
SLV,10,7257,16,0.5189565
SVN,8,7258,16,0.1995196
ITA,6,7273,16,5.6629288
BEL,4,7332,16,0.9901664
ESP,7,7340,16,3.8715848
FRA,4,7389,17,5.7668932
BGR,8,7400,17,0.8981446
FIN,4,7408,17,0.4946481
EST,9,7424,17,0.15619
DEU,2,7446,17,7.8144616
CYP,8,7473,17,0.0736531
JOR,10,7473,17,0.2948
NLD,5,7498,17,1.4760094
JPN,2,7621,17,12.2613
ARG,8,7645,17,3.172913
NZL,4,7676,17,0.335
AUS,4,7711,17,1.65322
JAM,10,7733,17,0.23564
CZE,9,7904,17,1.0355276
URY,9,7990,17,0.3068166
ROU,10,8002,17,2.3057662
LVA,7,8017,17,0.2653434
ISR,8,8023,17,0.4442
GRC,6,8075,17,1.0036983
CRI,10,8095,17,0.2916566
IRN,10,8150,17,5.1810744
FIN,5,8168,17,0.4946481
KAZ,10,8168,17,1.6130832
USA,3,8180,17,24.4499008
BEL,5,8237,17,0.9901664
KOR,8,8302,17,4.1975
GBR,6,8324,17,5.6928328
AUT,2,8333,17,0.7585317
PRT,9,8364,17,1.001961
ITA,7,8443,17,5.6629288
SVN,9,8489,17,0.1995196
CAN,3,8503,17,2.6895
FRA,5,8542,17,5.7668932
DNK,3,8559,17,0.5129516
ESP,8,8566,17,3.8715848
JPN,3,8612,17,12.2613
POL,10,8668,17,3.7824488
BGR,9,8678,17,0.8981446
NLD,6,8691,17,1.4760094
DEU,3,8744,17,7.8144616
ECU,10,8778,17,0.9792658
IRL,9,8864,17,0.3524949
AUS,5,8904,17,1.65322
FIN,6,8953,17,0.4946481
LVA,8,8968,17,0.2653434
BEL,6,9132,17,0.9901664
TUR,10,9155,17,5.22785
CYP,9,9305,17,0.0736531
GRC,7,9347,17,1.0036983
SVK,10,9365,17,0.5250596
JPN,4,9507,17,12.2613
GBR,7,9557,17,5.6928328
EST,10,9591,17,0.15619
DNK,4,9656,17,0.5129516
AUT,3,9790,17,0.7585317
FRA,6,9790,17,5.7668932
NZL,5,9841,17,0.335
ITA,8,9878,17,5.6629288
FIN,7,9909,17,0.4946481
TTO,10,9914,17,0.1201224
CAN,4,9973,17,2.6895
NLD,7,10021,17,1.4760094
DEU,4,10086,17,7.8144616
ISR,9,10152,17,0.4442
BEL,7,10195,17,0.9901664
KOR,9,10216,17,4.1975
LVA,9,10250,17,0.2653434
ARG,9,10280,17,3.172913
USA,4,10312,18,24.4499008
MYS,10,10335,18,1.7200068
CZE,10,10449,18,1.0355276
AUS,6,10469,18,1.65322
JPN,5,10495,18,12.2613
ESP,9,10586,18,3.8715848
PRY,10,10604,18,0.4023628
DNK,5,10751,18,0.5129516
AUT,4,11059,18,0.7585317
FIN,8,11112,18,0.4946481
GRC,8,11164,18,1.0036983
FRA,7,11236,18,5.7668932
GBR,8,11239,18,5.6928328
CAN,5,11417,18,2.6895
DEU,5,11444,18,7.8144616
COL,10,11476,18,3.191325
BEL,8,11596,18,0.9901664
JPN,6,11684,18,12.2613
NLD,8,11893,18,1.4760094
DNK,6,11967,18,0.5129516
ITA,9,12109,18,5.6629288
NZL,6,12244,18,0.335
AUT,5,12331,18,0.7585317
AUS,7,12345,18,1.65322
BGR,10,12424,18,0.8981446
USA,5,12441,18,24.4499008
SVN,10,12548,18,0.1995196
FIN,9,12873,18,0.4946481
DEU,6,13011,18,7.8144616
CAN,6,13101,18,2.6895
JPN,7,13175,18,12.2613
FRA,8,13195,18,5.7668932
CHL,10,13336,18,1.2733409
DNK,7,13387,18,0.5129516
GBR,9,13674,18,5.6928328
AUT,6,13689,18,0.7585317
LVA,10,13712,18,0.2653434
BEL,9,13755,18,0.9901664
GRC,9,13798,18,1.0036983
PRT,10,14080,18,1.001961
NZL,7,14321,18,0.335
DEU,7,14686,18,7.8144616
AUS,8,14849,18,1.65322
USA,6,14861,18,24.4499008
JPN,8,15075,18,12.2613
NLD,9,15075,18,1.4760094
BRA,10,15081,19,14.4470384
AUT,7,15204,19,0.7585317
DNK,8,15205,19,0.5129516
CAN,7,15207,19,2.6895
CYP,10,15540,19,0.0736531
IRL,10,15603,19,0.3524949
VEN,10,15618,19,1.8839278
URY,10,16242,19,0.3068166
FRA,9,16274,19,5.7668932
ISR,10,16920,19,0.4442
NZL,8,16942,19,0.335
DEU,8,16973,19,7.8144616
AUT,8,17063,19,0.7585317
ESP,10,17723,19,3.8715848
FIN,10,17806,19,0.4946481
USA,7,17860,19,24.4499008
DNK,9,17907,19,0.5129516
JPN,9,18078,19,12.2613
CAN,8,18087,19,2.6895
AUS,9,18784,19,1.65322
KOR,10,19432,19,4.1975
AUT,9,19638,19,0.7585317
ITA,10,19681,19,5.6629288
DEU,9,20268,19,7.8144616
BEL,10,20652,19,0.9901664
NZL,9,20687,19,0.335
USA,8,21485,19,24.4499008
ARG,10,22020,19,3.172913
GBR,10,22217,19,5.6928328
CAN,9,22462,19,2.6895
NLD,10,22806,19,1.4760094
GRC,10,23636,19,1.0036983
FRA,10,26635,19,5.7668932
JPN,10,26920,19,12.2613
USA,9,27285,19,24.4499008
AUT,10,27312,19,0.7585317
DNK,10,27387,19,0.5129516
AUS,10,28953,19,1.65322
NZL,10,29393,19,0.335
DEU,10,31358,19,7.8144616
CAN,10,34682,19,2.6895
USA,10,43279,19,24.4499008
